,merchant_id,Cluster_k22_GMM_AIC_BIC
188,M_ID_0041fa169a,10
189,M_ID_004232f0ff,9
190,M_ID_0042b4723b,14
191,M_ID_0043132ca5,11
192,M_ID_00431d11b2,15
193,M_ID_0043c81502,15
194,M_ID_0043ea3f0c,13
195,M_ID_0043fd5e7a,6
196,M_ID_0044cf706a,20
197,M_ID_0045a38b9e,1
198,M_ID_0045b7c454,10
199,M_ID_0047308e63,1
200,M_ID_0047855719,2
201,M_ID_0047b11bed,8
202,M_ID_0048931212,17
203,M_ID_0048fab0c6,11
204,M_ID_004995eae1,5
205,M_ID_004a41fd71,1
206,M_ID_004a4360df,11
207,M_ID_004ac4f1d8,8
208,M_ID_004b50a5a1,6
209,M_ID_004b94715d,8
210,M_ID_004e4ded0b,15
211,M_ID_004e6a900d,0
212,M_ID_004ea209bc,6
213,M_ID_004eac6913,2
214,M_ID_00505bbb61,13
215,M_ID_005080446f,1
216,M_ID_0050a37b42,8
217,M_ID_0050cba10b,1
218,M_ID_00516bd57e,2
219,M_ID_00517bd092,1
220,M_ID_00519503f8,13
221,M_ID_005252c19c,11
222,M_ID_0052927d95,2
223,M_ID_0053aba662,15
224,M_ID_0053ba92ed,17
225,M_ID_0053cafe68,1
226,M_ID_00549991da,13
227,M_ID_0054bb2619,14
228,M_ID_00558f5808,17
229,M_ID_0055a982f3,0
230,M_ID_0055aba4e7,8
231,M_ID_00561a6784,1
232,M_ID_00561f44c2,8
233,M_ID_0056789c34,8
234,M_ID_0057a125a5,17
235,M_ID_0057d1bff6,0
236,M_ID_0057fea8f7,14
237,M_ID_00584b61b1,1
238,M_ID_005b757d68,20
239,M_ID_005be2327c,1
240,M_ID_005c31e95b,8
241,M_ID_005cd67d2d,1
242,M_ID_005d054515,1
243,M_ID_005db00e38,0
244,M_ID_005dded429,13
245,M_ID_005e780e45,8
246,M_ID_005eb01fb3,1
247,M_ID_005f8b5fe3,15
248,M_ID_005fcf95ca,1
249,M_ID_00600e617d,8
250,M_ID_00601f1632,9
251,M_ID_00602a5153,2
252,M_ID_0060aee5ac,1
253,M_ID_0060bb49b7,17
254,M_ID_00611108dc,13
255,M_ID_00611ebe80,8
256,M_ID_00619a3857,8
257,M_ID_00619bad74,8
258,M_ID_0061d20073,1
259,M_ID_0062c87d4c,13
260,M_ID_0062d302b7,13
261,M_ID_0062f29312,6
262,M_ID_0062ffd4e7,8
263,M_ID_00630e2fd3,21
264,M_ID_0063d2abd0,2
265,M_ID_0063f8ff0d,8
266,M_ID_00643eab33,14
267,M_ID_00645277f1,11
268,M_ID_00649511bc,12
269,M_ID_0064d433c1,0
270,M_ID_0064f08916,21
271,M_ID_0064f6e2b8,16
272,M_ID_0065080598,13
273,M_ID_00653588c2,8
274,M_ID_00656b9ac6,6
275,M_ID_0065c71e64,1
276,M_ID_0065e5f013,11
277,M_ID_00670641b5,0
278,M_ID_00674388cc,14
279,M_ID_00675d03d3,8
280,M_ID_0067611dfc,17
281,M_ID_0067835100,14
282,M_ID_0067af77ba,17
283,M_ID_0067e06a01,11
284,M_ID_00680e43aa,13
285,M_ID_00691460c3,16
286,M_ID_0069ffd95a,17
287,M_ID_006a27d1f1,15
288,M_ID_006a5f0f95,0
289,M_ID_006aa8470d,12
290,M_ID_006bb112d1,0
291,M_ID_006cc4aa6f,17
292,M_ID_006d580ce6,17
293,M_ID_006dfbc14d,8
294,M_ID_006e478bee,2
295,M_ID_006e4900a6,8
296,M_ID_006e59bb1e,7
297,M_ID_006e75fee7,1
298,M_ID_006ed55653,14
299,M_ID_006f4a2e8e,6
300,M_ID_006fae3140,8
301,M_ID_0070001ce1,11
302,M_ID_0070065c71,17
303,M_ID_0070462447,15
304,M_ID_0071988d26,0
305,M_ID_00722b29a5,2
306,M_ID_00728d0275,14
307,M_ID_0072c16981,11
308,M_ID_00735311d3,17
309,M_ID_0073b79a95,0
310,M_ID_00740802c4,17
311,M_ID_0074dd7c6e,12
312,M_ID_0074ef37cd,14
313,M_ID_007503e5af,8
314,M_ID_0075863218,1
315,M_ID_0075ca76fe,13
316,M_ID_00768931ee,14
317,M_ID_00774dcf34,14
318,M_ID_00779a4b5b,1
319,M_ID_0077bb3ebc,1
320,M_ID_0077de4c47,2
321,M_ID_0078819559,17
322,M_ID_007987a353,1
323,M_ID_0079fbb79d,17
324,M_ID_007a529544,15
325,M_ID_007a621d03,16
326,M_ID_007a68cbf1,21
327,M_ID_007ae3ecc1,13
328,M_ID_007b259447,17
329,M_ID_007b43c6f0,15
330,M_ID_007c453765,8
331,M_ID_007d1fdb33,17
332,M_ID_007d293dd0,8
333,M_ID_007d78504b,0
334,M_ID_007d80d7e4,1
335,M_ID_007d879ab0,11
336,M_ID_007d967f48,16
337,M_ID_007da49e6b,16
338,M_ID_007dbef18c,14
339,M_ID_007dc7c4be,2
340,M_ID_007dd5e450,0
341,M_ID_007dfccfc4,13
342,M_ID_007dfe829d,8
343,M_ID_007e0bc668,2
344,M_ID_007e2a55a3,14
345,M_ID_007eac3a46,2
346,M_ID_007f3f7698,16
347,M_ID_007f572edf,15
348,M_ID_00808ba5c3,1
349,M_ID_0081c58abb,15
350,M_ID_0081f3ff2b,0
351,M_ID_00820733aa,0
352,M_ID_008241749c,2
353,M_ID_008247246e,15
354,M_ID_0082528a42,9
355,M_ID_008270400b,16
356,M_ID_0083ec53d2,6
357,M_ID_0084832a89,17
358,M_ID_0084957334,2
359,M_ID_0084baec29,8
360,M_ID_008539267c,15
361,M_ID_0086682944,1
362,M_ID_0086960f6f,17
363,M_ID_0086eeb6bb,0
364,M_ID_00871a7c9b,1
365,M_ID_00871b34e1,8
366,M_ID_008742417f,16
367,M_ID_008764f881,2
368,M_ID_0087f15f22,15
369,M_ID_008812bbde,8
370,M_ID_008891aa04,1
371,M_ID_0088a40a77,0
372,M_ID_0088a6bc83,14
373,M_ID_0088e0fbb9,9
374,M_ID_0088fa4e2a,17
375,M_ID_008920ed5a,17
376,M_ID_008974ae3c,8
377,M_ID_008ab63524,0
378,M_ID_008b8fe797,11
379,M_ID_008bd7426e,8
380,M_ID_008c02ed06,19
381,M_ID_008c7f7615,16
382,M_ID_008c9505cf,8
383,M_ID_008d1d59e1,11
384,M_ID_008d51d376,0
385,M_ID_008e0a940d,0
386,M_ID_008e65952c,8
387,M_ID_008eb6c4cd,0
388,M_ID_008ecd8b06,16
389,M_ID_008edbfd3d,2
390,M_ID_008f09b986,14
391,M_ID_008f73d483,6
392,M_ID_008ff1929c,17
393,M_ID_00901dee39,1
394,M_ID_009074f3ff,17
395,M_ID_0090fcdf5d,11
396,M_ID_0091868137,1
397,M_ID_00920cca39,1
398,M_ID_00928373ad,11
399,M_ID_0092dbfac8,9
400,M_ID_0092fbbc5f,1
401,M_ID_0093077e0b,6
402,M_ID_00936e7a59,8
403,M_ID_0094b0e23a,14
404,M_ID_0094d268d9,1
405,M_ID_0094d9b03d,8
406,M_ID_00955f48d8,2
407,M_ID_0095723b33,14
408,M_ID_0095c0d2ca,8
409,M_ID_0095c7a535,8
410,M_ID_00961419ca,8
411,M_ID_0096d62566,14
412,M_ID_0097089812,8
413,M_ID_00971b1eff,8
414,M_ID_009769833d,16
415,M_ID_0097bb2d73,14
416,M_ID_0097c14419,20
417,M_ID_0097cfabd2,16
418,M_ID_00987fd4e7,14
419,M_ID_0098825415,16
420,M_ID_00988a926d,14
421,M_ID_0099b6483f,12
422,M_ID_009a1c2103,13
423,M_ID_009a3d6513,2
424,M_ID_009aa7780e,1
425,M_ID_009ae274e9,14
426,M_ID_009c382f16,16
427,M_ID_009d260a8b,6
428,M_ID_009d2f90d5,1
429,M_ID_009d9f5aad,1
430,M_ID_009da2934f,13
431,M_ID_009dfa6f2b,17
432,M_ID_009e048c23,1
433,M_ID_009e56a4b3,1
434,M_ID_009e89b4d0,11
435,M_ID_009f533a67,13
436,M_ID_009f61d7eb,17
437,M_ID_009f678280,1
438,M_ID_00a01bd6d6,10
439,M_ID_00a02a522e,15
440,M_ID_00a041bb49,17
441,M_ID_00a046c960,17
442,M_ID_00a14b2ca2,8
443,M_ID_00a14be5e8,2
444,M_ID_00a14f5e1a,13
445,M_ID_00a164e0cd,9
446,M_ID_00a1e8d937,1
447,M_ID_00a226aa22,1
448,M_ID_00a2505bfa,6
449,M_ID_00a26c6d23,1
450,M_ID_00a2ba23ac,13
451,M_ID_00a3013354,14
452,M_ID_00a30a27db,17
453,M_ID_00a3134752,17
454,M_ID_00a3bfa0e2,15
455,M_ID_00a3c08874,14
456,M_ID_00a3cff544,17
457,M_ID_00a3e52ec6,13
458,M_ID_00a40ad9f0,19
459,M_ID_00a43a18a3,17
460,M_ID_00a60e69c3,16
461,M_ID_00a63fb502,15
462,M_ID_00a6ae48d8,15
463,M_ID_00a6ca8a8a,10
464,M_ID_00a76ee52c,6
465,M_ID_00a80ba8dd,2
466,M_ID_00a83da3ab,8
467,M_ID_00a84277d7,14
468,M_ID_00a9a722d9,19
469,M_ID_00aa7c36b9,17
470,M_ID_00ab68a5ca,15
471,M_ID_00abb15f91,19
472,M_ID_00ac9d22a2,14
473,M_ID_00ace1ebae,17
474,M_ID_00ad121a1e,13
475,M_ID_00ad2b9f6f,9
476,M_ID_00ad73edc1,10
477,M_ID_00ad776ef5,1
478,M_ID_00adc4afb4,6
479,M_ID_00adcbfe87,19
480,M_ID_00add99c53,11
481,M_ID_00ade6b8ba,8
482,M_ID_00ae6d79d3,17
483,M_ID_00aea8454a,0
484,M_ID_00af1c8cdd,14
485,M_ID_00af9d1a75,8
486,M_ID_00aff6f7b6,15
487,M_ID_00affb8141,6
488,M_ID_00b018b01e,21
489,M_ID_00b08c5fe6,15
490,M_ID_00b0a50085,14
491,M_ID_00b0bdd190,2
492,M_ID_00b0f4f046,19
493,M_ID_00b1068ceb,17
494,M_ID_00b16b94a9,1
495,M_ID_00b19e9774,6
496,M_ID_00b1c5611f,8
497,M_ID_00b1d34abd,8
498,M_ID_00b2aa8a98,13
499,M_ID_00b36e2cf2,8
500,M_ID_00b3c27bd3,6
501,M_ID_00b405a56d,17
502,M_ID_00b4871bc6,2
503,M_ID_00b4afd50c,15
504,M_ID_00b4f8c173,8
505,M_ID_00b4fe8bf1,2
506,M_ID_00b558197a,14
507,M_ID_00b5953bb2,0
508,M_ID_00b62d60d3,1
509,M_ID_00b63cac58,17
510,M_ID_00b67fe8f3,1
511,M_ID_00b6b979ef,14
512,M_ID_00b6ddeac6,13
513,M_ID_00b6e7f46b,6
514,M_ID_00b6f61b2e,11
515,M_ID_00b7347b96,17
516,M_ID_00b7788c91,13
517,M_ID_00b79f812b,16
518,M_ID_00b8af5a6a,2
519,M_ID_00b8b33866,8
520,M_ID_00b8bf78cf,8
521,M_ID_00bb579d2d,8
522,M_ID_00bbbfcba8,0
523,M_ID_00bbf674a3,13
524,M_ID_00bc255f4f,2
525,M_ID_00bc815c1d,17
526,M_ID_00bca876ae,16
527,M_ID_00bd13193a,15
528,M_ID_00bd5e7034,1
529,M_ID_00bd932b8d,8
530,M_ID_00be3f4fa4,0
531,M_ID_00be66b806,9
532,M_ID_00bee65fd2,16
533,M_ID_00bf62b5c8,17
534,M_ID_00bf737901,11
535,M_ID_00bf80687b,15
536,M_ID_00bfb29f93,13
537,M_ID_00c0034225,11
538,M_ID_00c122bb06,14
539,M_ID_00c173469d,17
540,M_ID_00c1a66429,13
541,M_ID_00c1fe529c,10
542,M_ID_00c29409ef,2
543,M_ID_00c2bb28ca,11
544,M_ID_00c2f2ad26,1
545,M_ID_00c43dc392,0
546,M_ID_00c4ba5a93,1
547,M_ID_00c4ba6eb7,11
548,M_ID_00c4f01af7,20
549,M_ID_00c4f79926,14
550,M_ID_00c54933fa,8
551,M_ID_00c57eaac8,1
552,M_ID_00c5ea0e65,13
553,M_ID_00c6b0e524,8
554,M_ID_00c75b582d,1
555,M_ID_00c7d96c88,1
556,M_ID_00c8132c7e,13
557,M_ID_00c852e4db,14
558,M_ID_00c882012c,16
559,M_ID_00c8987f23,17
560,M_ID_00c94e592f,13
561,M_ID_00c952263e,17
562,M_ID_00c9678c6b,20
563,M_ID_00c9b46259,12
564,M_ID_00ca0144d5,0
565,M_ID_00cb205b0e,8
566,M_ID_00cb2ac9aa,10
567,M_ID_00cb81b9a4,17
568,M_ID_00cbca1cc3,15
569,M_ID_00cbd8730b,17
570,M_ID_00ccf835a8,11
571,M_ID_00cd23d178,13
572,M_ID_00cd968297,8
573,M_ID_00cd9f48de,11
574,M_ID_00cdbaeb95,2
575,M_ID_00ce7087bc,13
576,M_ID_00cec07b10,14
577,M_ID_00cf328441,0
578,M_ID_00d02accc3,1
579,M_ID_00d194b27b,1
580,M_ID_00d22b88ef,8
581,M_ID_00d2e1c20f,2
582,M_ID_00d3055cce,1
583,M_ID_00d36f56e7,17
584,M_ID_00d4322434,14
585,M_ID_00d4498819,13
586,M_ID_00d4a31f69,17
587,M_ID_00d4a98647,8
588,M_ID_00d55cb7c4,7
589,M_ID_00d58def33,14
590,M_ID_00d5c8a6fe,15
591,M_ID_00d644c37f,14
592,M_ID_00d70ea6eb,8
593,M_ID_00d7218254,2
594,M_ID_00d82631f6,15
595,M_ID_00d8542fba,11
596,M_ID_00d8d15a8b,1
597,M_ID_00d8d8d792,11
598,M_ID_00d8e1e694,12
599,M_ID_00d92520ff,17
600,M_ID_00d9ebf199,1
601,M_ID_00da1add15,11
602,M_ID_00da5cac00,16
603,M_ID_00da9015ac,2
604,M_ID_00da95cd76,3
605,M_ID_00db6043e3,19
606,M_ID_00db8a0bc7,6
607,M_ID_00dbf59b65,15
608,M_ID_00dc14506c,11
609,M_ID_00dcb209c0,2
610,M_ID_00ddd35afb,14
611,M_ID_00ddfa2523,1
612,M_ID_00df95adce,1
613,M_ID_00dfc35d37,6
614,M_ID_00dfd69582,6
615,M_ID_00e0c7e6b1,12
616,M_ID_00e0f0eb47,15
617,M_ID_00e131b73d,19
618,M_ID_00e14306de,6
619,M_ID_00e23a5a46,14
620,M_ID_00e2b70337,13
621,M_ID_00e2cfbe21,0
622,M_ID_00e362939a,15
623,M_ID_00e363c27f,2
624,M_ID_00e3e4af10,17
625,M_ID_00e404ce1c,14
626,M_ID_00e42e96e9,10
627,M_ID_00e460eda2,17
628,M_ID_00e49bd175,17
629,M_ID_00e4c2b055,1
630,M_ID_00e4c37e73,13
631,M_ID_00e4ef587d,17
632,M_ID_00e4f5478b,11
633,M_ID_00e538c2fa,15
634,M_ID_00e5ffaff6,11
635,M_ID_00e6baf52d,1
636,M_ID_00e8461621,14
637,M_ID_00e95de9d5,17
638,M_ID_00e9d50a09,8
639,M_ID_00e9d9ea6c,13
640,M_ID_00ea6d6dac,8
641,M_ID_00ea863462,17
642,M_ID_00eb4b1ca2,13
643,M_ID_00ebb80f53,13
644,M_ID_00ebbd59e8,2
645,M_ID_00ebdadb88,14
646,M_ID_00ec3182ae,15
647,M_ID_00ecc45603,1
648,M_ID_00ed08de65,8
649,M_ID_00ed379251,15
650,M_ID_00ee292e1b,14
651,M_ID_00ee34a5a9,8
652,M_ID_00eea04b25,16
653,M_ID_00ef02b030,0
654,M_ID_00ef0a2148,13
655,M_ID_00efbe0c7c,1
656,M_ID_00f001591a,14
657,M_ID_00f09408fb,14
658,M_ID_00f0f46a6b,15
659,M_ID_00f105fd5b,9
660,M_ID_00f141991f,1
661,M_ID_00f14402c5,0
662,M_ID_00f153a14f,0
663,M_ID_00f157acc1,8
664,M_ID_00f2399fdc,19
665,M_ID_00f24bdb1c,17
666,M_ID_00f25fb769,9
667,M_ID_00f28b6cd9,14
668,M_ID_00f2b1968a,1
669,M_ID_00f2f63c44,2
670,M_ID_00f31042a1,0
671,M_ID_00f3166864,11
672,M_ID_00f37e5543,0
673,M_ID_00f39e2e28,2
674,M_ID_00f3acc22e,0
675,M_ID_00f3ace0ec,6
676,M_ID_00f3cc6c80,1
677,M_ID_00f4ad6410,15
678,M_ID_00f50b6acf,1
679,M_ID_00f5fdbe04,11
680,M_ID_00f6af9abf,8
681,M_ID_00f6d89cc0,17
682,M_ID_00f803a717,8
683,M_ID_00f86a4171,11
684,M_ID_00f8ceee3d,0
685,M_ID_00f92a5c2a,15
686,M_ID_00f977a09f,0
687,M_ID_00f9ca6b02,2
688,M_ID_00f9ccb05d,2
689,M_ID_00f9d649b5,0
690,M_ID_00f9f89884,19
691,M_ID_00fa520591,1
692,M_ID_00fa7c5e43,2
693,M_ID_00fad79ed7,1
694,M_ID_00fb68e3e1,13
695,M_ID_00fba4b3f7,8
696,M_ID_00fbe60818,15
697,M_ID_00fbef59fc,2
698,M_ID_00fbf73ec3,15
699,M_ID_00fbf97dca,14
700,M_ID_00fc6bd1bf,8
701,M_ID_00fc6d7d3d,0
702,M_ID_00fcda3b23,11
703,M_ID_00fdcdd2ae,14
704,M_ID_00fe6b23b1,14
705,M_ID_00ff7ade75,13
706,M_ID_010005a921,13
707,M_ID_01001b9d41,2
708,M_ID_01002c1f09,17
709,M_ID_01002f671a,13
710,M_ID_01006035b9,14
711,M_ID_01007f9968,11
712,M_ID_010184221f,2
713,M_ID_01019837ca,1
714,M_ID_0102e074b4,8
715,M_ID_010313b79f,17
716,M_ID_010331d91d,2
717,M_ID_01044e7ffd,15
718,M_ID_0104ad8596,8
719,M_ID_0105645888,14
720,M_ID_01056ca461,13
721,M_ID_0105c2b337,6
722,M_ID_0105ee72c6,1
723,M_ID_0105fc87f5,10
724,M_ID_01066394ab,14
725,M_ID_0106e061b3,8
726,M_ID_0106f545bc,6
727,M_ID_01074eb2f5,15
728,M_ID_010785aaab,0
729,M_ID_0107ab0421,6
730,M_ID_010861e699,11
731,M_ID_0109011048,17
732,M_ID_0109519512,1
733,M_ID_0109589f0c,1
734,M_ID_01095addec,1
735,M_ID_010967f0ce,2
736,M_ID_0109a2659f,11
737,M_ID_0109ee487b,14
738,M_ID_010a183fd7,21
739,M_ID_010c1d03b6,17
740,M_ID_010ca95841,14
741,M_ID_010cc673c2,13
742,M_ID_010cf2e0d5,19
743,M_ID_010d717282,11
744,M_ID_010d776a7f,15
745,M_ID_010d8462c9,12
746,M_ID_010d9604da,17
747,M_ID_010ec2968e,0
748,M_ID_010f537024,14
749,M_ID_010f6fda7d,13
750,M_ID_010f92c97d,1
751,M_ID_010ff71360,1
752,M_ID_01112c637e,17
753,M_ID_01117f2452,8
754,M_ID_01119dbc4f,13
755,M_ID_011229044d,14
756,M_ID_01123db89c,11
757,M_ID_0112dda846,2
758,M_ID_01131c91da,16
759,M_ID_0113485fb2,1
760,M_ID_011531a177,0
761,M_ID_0115cc40c6,16
762,M_ID_011625e552,17
763,M_ID_01163bc139,17
764,M_ID_0116770f53,1
765,M_ID_01173c65d2,1
766,M_ID_01176c8efb,6
767,M_ID_01189fc19b,1
768,M_ID_011901afcb,13
769,M_ID_0119110d80,20
770,M_ID_01194180f2,11
771,M_ID_01196911cb,8
772,M_ID_011a07973c,17
773,M_ID_011a71d8bf,2
774,M_ID_011afc70cf,11
775,M_ID_011b70c56f,21
776,M_ID_011b7c123d,13
777,M_ID_011bb5f58f,19
778,M_ID_011cc97cd1,13
779,M_ID_011dd5ab09,15
780,M_ID_011e3a4537,2
781,M_ID_011ede8b9e,13
782,M_ID_011f6f9c29,15
783,M_ID_011fd615c8,15
784,M_ID_011fe4f32a,1
785,M_ID_01205cbf09,11
786,M_ID_0120993994,2
787,M_ID_0120b012e3,1
788,M_ID_0120fba79d,2
789,M_ID_01219ff439,1
790,M_ID_01220d18fa,8
791,M_ID_01223d85d2,14
792,M_ID_012253001d,17
793,M_ID_01229eea93,2
794,M_ID_0122bc7a6a,15
795,M_ID_0122fa16db,0
796,M_ID_012303af89,15
797,M_ID_0123a2a096,11
798,M_ID_0123baecd1,13
799,M_ID_01247282b6,17
800,M_ID_01249af850,3
801,M_ID_012530b52a,15
802,M_ID_012537ae0f,0
803,M_ID_0125f909fa,16
804,M_ID_0125fc9953,6
805,M_ID_0126658872,11
806,M_ID_0126a9f2b8,14
807,M_ID_0126e9447e,14
808,M_ID_01280405a1,16
809,M_ID_012819ce75,1
810,M_ID_01283f531a,10
811,M_ID_01284d0ed7,0
812,M_ID_0128774074,14
813,M_ID_0128e1fa39,14
814,M_ID_012923522a,8
815,M_ID_0129724fa3,17
816,M_ID_012990292f,10
817,M_ID_012a6f026e,19
818,M_ID_012a76f882,11
819,M_ID_012a8912e2,17
820,M_ID_012abad529,1
821,M_ID_012c04ea3a,19
822,M_ID_012c0ad7d9,2
823,M_ID_012c190b71,16
824,M_ID_012c2b2082,15
825,M_ID_012c5b11e4,17
826,M_ID_012d9f4c2d,17
827,M_ID_012db26d6a,16
828,M_ID_012e5c8160,17
829,M_ID_012e6910d6,2
830,M_ID_012e738f51,1
831,M_ID_012e9a2e3b,1
832,M_ID_012ef143dc,2
833,M_ID_012ef428ac,11
834,M_ID_012f0ab728,1
835,M_ID_012f2202ac,17
836,M_ID_012feba548,6
837,M_ID_01307f60d2,1
838,M_ID_0130c8efb7,15
839,M_ID_0130cd004e,14
840,M_ID_01317b5c4c,14
841,M_ID_0131a7e397,8
842,M_ID_0132260597,15
843,M_ID_0132584c11,16
844,M_ID_0132867b13,8
845,M_ID_0132d91831,15
846,M_ID_0132dc456c,10
847,M_ID_013319d787,2
848,M_ID_01335bc369,0
849,M_ID_0133f1cfdb,1
850,M_ID_0133fd435c,13
851,M_ID_01343be5f4,13
852,M_ID_01346fa197,1
853,M_ID_0134f82a04,17
854,M_ID_0134fdc378,8
855,M_ID_0135286d5b,0
856,M_ID_01359a7810,1
857,M_ID_01363f813e,13
858,M_ID_01368fe086,13
859,M_ID_0136991881,6
860,M_ID_0136d58445,11
861,M_ID_0136dd9002,11
862,M_ID_0136f79f8d,5
863,M_ID_0137491cd9,15
864,M_ID_013757d115,14
